epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,975.962,1.13398,1.85754,0.92906,1.18449,0,0.57844,0.65672,0.63002,0.35886,0.6079,0.65174,0.63676,0.34487,1.52314,2.86023,1.33752,1.45996,0,0.0016304,0.0016304,0.0016304
30,1010.56,1.16018,1.81014,0.92197,1.20344,0,0.70438,0.53731,0.60652,0.35376,0.72726,0.55224,0.62031,0.34776,1.57093,2.84204,1.46086,1.5258,0,0.0016172,0.0016172,0.0016172
31,1042.35,1.15224,1.83409,0.93162,1.2023,0,0.65199,0.66177,0.67418,0.39451,0.65199,0.66177,0.66943,0.39261,1.47709,2.60297,1.31517,1.44217,0,0.001604,0.001604,0.001604
32,1074.04,1.11664,1.8084,0.89329,1.18953,0,0.65235,0.60697,0.64653,0.37873,0.67457,0.60697,0.66742,0.37027,1.57112,2.9317,1.34507,1.4937,0,0.0015908,0.0015908,0.0015908
33,1106.01,1.13386,1.81954,0.91612,1.17663,0,0.67645,0.65174,0.65133,0.37649,0.70356,0.67662,0.67671,0.362,1.52665,2.84621,1.272,1.44776,0,0.0015776,0.0015776,0.0015776
34,1141.53,1.09231,1.76084,0.88003,1.1751,0,0.67656,0.61194,0.62301,0.36524,0.66292,0.59701,0.60954,0.33967,1.50179,2.62084,1.41994,1.41986,0,0.0015644,0.0015644,0.0015644
35,1176.84,1.11103,1.8052,0.8342,1.16335,0,0.65526,0.56716,0.63787,0.37969,0.61282,0.62189,0.63901,0.35865,1.45822,2.62843,1.35879,1.39013,0,0.0015512,0.0015512,0.0015512
36,1204.2,1.10745,1.75107,0.85485,1.1722,0,0.68185,0.64179,0.6893,0.38065,0.69527,0.64677,0.7016,0.38282,1.50029,2.51225,1.26051,1.44709,0,0.001538,0.001538,0.001538
37,1231.83,1.10811,1.78054,0.86736,1.18334,0,0.68581,0.58209,0.65518,0.38169,0.68581,0.58209,0.64681,0.36987,1.48151,2.62606,1.33484,1.42333,0,0.0015248,0.0015248,0.0015248
38,1259.17,1.07622,1.70861,0.84104,1.18176,0,0.64094,0.62189,0.67774,0.39467,0.6874,0.57711,0.67181,0.372,1.50963,2.63528,1.2338,1.44167,0,0.0015116,0.0015116,0.0015116
39,1285.47,1.09242,1.74924,0.85429,1.16996,0,0.62293,0.63682,0.61682,0.35524,0.61961,0.63184,0.62489,0.33777,1.53072,2.85329,1.38025,1.46694,0,0.0014984,0.0014984,0.0014984
40,1313.27,1.08364,1.69967,0.86875,1.16684,0,0.62911,0.70042,0.64549,0.37527,0.63358,0.7054,0.65708,0.36031,1.52358,2.63605,1.31448,1.46079,0,0.0014852,0.0014852,0.0014852
41,1330.64,1.05988,1.6875,0.80735,1.14847,0,0.51643,0.61102,0.57199,0.3289,0.55185,0.53731,0.5584,0.30116,1.54068,2.86111,1.66988,1.53408,0,0.001472,0.001472,0.001472
42,1344.74,1.06928,1.71687,0.78701,1.13483,0,0.60889,0.67662,0.63043,0.36532,0.71643,0.59701,0.64609,0.34322,1.54315,2.70086,1.32188,1.46143,0,0.0014588,0.0014588,0.0014588
43,1358.63,1.04904,1.68765,0.78198,1.14034,0,0.663,0.55224,0.6353,0.35729,0.6869,0.57214,0.65673,0.35789,1.61064,2.6827,1.35355,1.53504,0,0.0014456,0.0014456,0.0014456
44,1372.44,1.04379,1.69063,0.79397,1.1414,0,0.69685,0.68619,0.66404,0.37182,0.70632,0.68159,0.67812,0.36057,1.55769,3.18908,1.26851,1.49904,0,0.0014324,0.0014324,0.0014324
45,1387.25,1.03384,1.6735,0.75809,1.13531,0,0.69311,0.56219,0.63107,0.37647,0.7339,0.56257,0.65292,0.35507,1.54563,2.85867,1.42802,1.45371,0,0.0014192,0.0014192,0.0014192
46,1402.75,1.02346,1.66746,0.7656,1.11924,0,0.66732,0.62871,0.64817,0.36472,0.6701,0.63682,0.66975,0.37005,1.55322,2.63038,1.32091,1.47569,0,0.001406,0.001406,0.001406
